x,y,z,label,radius,curvature,torsion
61.3624,87.1069,0.993516,4,2.38649,0.0417419,0.00910583
61.8852,86.7226,1.02723,4,2.33973,0.0410497,0.0105994
62.4126,86.352,1.05162,4,2.29493,0.0401242,0.0129027
62.9445,85.9947,1.06712,4,2.47487,0.0389053,0.016354
63.4811,85.65,1.0742,4,2.48415,0.0373322,0.0223308
64.0223,85.3173,1.07343,4,2.46899,0.0353464,0.0321917
64.5682,84.996,1.06546,4,2.45356,0.0329001,0.0479063
65.1186,84.6853,1.0511,4,2.34128,0.0299731,0.073218
65.6736,84.3841,1.03132,4,2.34128,0.0266107,0.115106
66.2332,84.0916,1.00727,4,2.27056,0.0229304,0.187059
66.7971,83.8065,0.980331,4,2.26553,0.019191,0.31401
67.3652,83.5277,0.95213,4,2.33,0.0159845,0.519178
67.9372,83.2541,0.924553,4,2.46163,0.0144932,0.705657
68.3204,83.0739,0.907578,4,2.24626,0.0151658,0.683725
68.8977,82.806,0.886043,4,2.40123,0.0189052,0.464784
69.4771,82.54,0.871649,4,2.29493,0.0250062,0.269567
70.0575,82.275,0.867353,4,2.46503,0.0324765,0.157146
70.6375,82.01,0.876282,4,2.31787,0.0407616,0.0956732
71.2157,81.7442,0.901647,4,2.31691,0.0495948,0.0612399
71.79,81.4772,0.946671,4,2.28265,0.0588419,0.0408924
72.3584,81.2086,1.01452,4,2.37957,0.0684114,0.0283515
72.9186,80.9382,1.10825,4,2.4588,0.0781795,0.0211089
73.468,80.666,1.23071,4,2.46899,0.0879412,0.0174129
74.0038,80.3922,1.38444,4,2.73072,0.0974554,0.0161302
74.5231,80.1171,1.57159,4,2.42241,0.106469,0.0167468
75.0227,79.8413,1.7938,4,2.43541,0.114753,0.0190056
75.4996,79.5652,2.05215,4,2.41089,0.122052,0.0227552
75.8032,79.3814,2.24473,4,2.38105,0.126238,0.0260774
76.235,79.1063,2.56405,4,2.4003,0.131329,0.0322579
76.6356,78.8325,2.91933,4,2.36011,0.134839,0.0400488
77.0021,78.5605,3.30928,4,2.39461,0.136624,0.0498028
77.332,78.2902,3.73194,4,2.37493,0.136631,0.0607919
77.6229,78.0218,4.18474,4,2.31034,0.134989,0.0722759
77.873,77.7548,4.66453,4,2.38642,0.131884,0.0847928
78.081,77.4884,5.16771,4,2.21436,0.127521,0.0988193
78.2462,77.2216,5.6903,4,2.19189,0.122209,0.114247
78.3682,76.9531,6.22805,4,2.15616,0.11633,0.131391
78.4478,76.6812,6.77651,4,2.24712,0.11025,0.150557
78.4859,76.4039,7.33114,4,2.26073,0.104313,0.171758
78.4842,76.119,7.88739,4,2.2192,0.0988536,0.194723
78.4452,75.8243,8.44076,4,2.22888,0.0941931,0.218649
78.3999,75.6211,8.80591,4,2.20897,0.0916786,0.233589
78.3054,75.3042,9.34486,4,2.26528,0.0889385,0.251462
78.1829,74.9705,9.86975,4,2.25448,0.0874706,0.263352
78.0368,74.6177,10.377,4,2.2338,0.0871731,0.269964
77.8723,74.2434,10.8634,4,2.25406,0.0878843,0.270226
77.695,73.8457,11.3264,4,2.24865,0.0893999,0.265447
77.5111,73.4232,11.764,4,2.20873,0.0913954,0.258942
77.3268,72.9753,12.1751,4,2.22775,0.0935454,0.253711
77.1487,72.5019,12.5592,4,2.2997,0.0957417,0.250558
76.9832,72.0039,12.9164,4,2.33923,0.0979901,0.2498
76.8368,71.4831,13.2478,4,2.3356,0.1004,0.25057
76.7156,70.9424,13.5549,4,2.34525,0.103239,0.249116
76.6254,70.3853,13.8403,4,2.346,0.106774,0.245147
76.5851,70.0071,14.0197,4,2.44446,0.109613,0.241491
76.5577,69.4335,14.2752,4,2.45049,0.114819,0.234817
76.5733,68.8581,14.5174,4,2.49051,0.121728,0.224735
76.6348,68.2874,14.7501,4,2.35817,0.130861,0.210103
76.7441,67.7288,14.9772,4,2.29706,0.142436,0.191849
76.9024,67.19,15.2027,4,2.29567,0.156194,0.172968
77.1099,66.6787,15.4302,4,2.26998,0.171541,0.155523
77.3656,66.2029,15.6632,4,2.27056,0.187724,0.140279
77.6677,65.7705,15.9048,4,2.25017,0.203788,0.12558
78.0128,65.3891,16.1573,4,2.50773,0.218362,0.111355
78.3965,65.0658,16.4227,4,2.28822,0.229773,0.0980206
78.8134,64.8066,16.7018,4,2.37667,0.236628,0.0871723
79.2567,64.6166,16.9948,4,2.38407,0.238719,0.07932
79.7188,64.4991,17.3008,4,2.48274,0.236459,0.0736475
80.0334,64.4623,17.5115,4,2.4555,0.232893,0.0709542
80.5086,64.4699,17.8359,4,2.46743,0.22527,0.0690413
80.98,64.5525,18.1684,4,2.46886,0.21614,0.0694929
81.4387,64.7081,18.5063,4,2.51216,0.206785,0.0721349
81.8758,64.9335,18.8469,4,2.4136,0.198264,0.076055
82.2827,65.224,19.1873,4,2.37053,0.191248,0.0803643
82.6514,65.5738,19.5248,4,2.31098,0.185742,0.0853439
82.9746,65.976,19.8572,4,2.20188,0.181202,0.0913978
83.2465,66.423,20.1827,4,2.12451,0.177278,0.0975789
83.4623,66.9065,20.5001,4,2.03491,0.173839,0.103354
83.6186,67.4183,20.8091,4,1.99234,0.170589,0.10853
83.7135,67.9498,21.1098,4,2.03177,0.167064,0.114716
83.7462,68.4932,21.403,4,1.89904,0.16291,0.122594
83.717,69.0407,21.6899,4,1.78083,0.15802,0.132303
83.6639,69.4044,21.8786,4,1.70292,0.154388,0.139429
83.5356,69.9429,22.1593,4,1.78443,0.148476,0.150284
83.3517,70.4674,22.4395,4,1.79789,0.142104,0.161616
83.1163,70.9721,22.7219,4,1.67038,0.13536,0.17387
82.8345,71.4521,23.0093,4,1.75847,0.128556,0.18481
82.5119,71.9033,23.3046,4,1.69677,0.12229,0.190824
82.1544,72.3226,23.6107,4,1.81796,0.116924,0.18858
81.7684,72.7076,23.93,4,1.7392,0.112481,0.178633
81.3599,73.0569,24.2647,4,1.68546,0.1088,0.162614
80.9344,73.3697,24.6163,4,1.68312,0.105627,0.139715
80.4972,73.6456,24.9857,4,1.61529,0.102627,0.111299
80.0526,73.885,25.3734,4,1.65527,0.0994477,0.0832547
79.6044,74.0884,25.7791,4,1.5988,0.0958853,0.0554916
79.305,74.2045,26.0591,4,1.66293,0.093277,0.0366215
78.8569,74.3499,26.4924,4,1.81951,0.089061,0.00705077
78.4114,74.4618,26.9401,4,1.65565,0.0845581,-0.0250167
